name,type,company,description,amount,notes,notes2,notes3,notes4
Jean-Yves Leconte,pro,,Chargé de missions,NÉANT,Missions auprès de la société EKOPIPE ayant fait l'objet d'une déclaration auprès du Bureau du Sénat - Aucune après la date d'élection,,,
Claude Bérit-Débat,pro,,NEANT,,,,,
Jean-Pierre Cantegrit,pro,,Chargé des relations extérieures du Groupe Castel,"72881,64 EUR par an",,,,
Stéphane Travert,pro,,Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale,2012 : 47198 EUR par an,Ville de CAEN - CHEF de CABINET Contractuel Fonction Publique Territoriale - au 30.06.12 : 23599 EUR cumul NET imposable,,,
Frédérique Espagnac,pro,,Chef de Service Parti socialiste,34932 EUR par an,"2911,00 EUR mois net x13",,,
Alain Fauré,pro,,Chef d'entreprise,2013 : 24952 EUR,24 952 EUR sur 2013,,,
Philippe Briand,pro,,Chef d'entreprise,101643 EUR par an,"101,64 €",,,
Jean-Marc Gabouty,pro,,Chef d'entreprise,105235 EUR par an,,,,
Sophie Errante,pro,,Chef d'entreprise,2012 : 180048 EUR,15 040 (du 1er/01/2012 au 30/06/2012) Démission au 1er/07/2012,,,
Olivier Cadic,pro,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,NÉANT,,,,
Olivier Cadic,pro,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,12750 EUR par an,"Du 01/01/2014 au 31/10/2014 : 9235,00 Livres Sterling net",,,
Anne-Lise Dufour-Tonini,pro,,Chef d'établissement scolaire du second degré,54000 EUR par an,4500 EUR mensuel,,,
Éric Jalton,pro,,Chirurgien Dentiste (à temps très partiel),2012 : -15038 EUR,Déficit en 2012 de -15038 EUR AGA bénéfice 2013,,,
Jean-David Ciot,pro,,Chômeur,43452 EUR par an,"Net mensuel : 3621,05",,,
David Douillet,pro,,Co-gérant de société,,Co-gérant société OURS BLANC,,,
Gisèle Jourda,pro,,Collaborateur de cabinet (députation),"17636,64 EUR par an",,,,
Guillaume Bachelay,pro,,Collaborateur de député (Laurent FABIUS),,"En 2012, la cessation du mandat du député entraîna la fin du contrat de travail.",,,
Pouria Amirshahi,pro,,Collaborateur de parlementaire,29520 EUR par an,Salaire net mensuel: 2460 EUR,,,
Eduardo Rihan Cypel,pro,,Collaborateur d'élu,37812 EUR par an,"Collaborateur de Gilbert ROGER au Conseil général de la Seine-Saint-Denis - 3 111,51 EUR net/mois",,,
Éric Jeansannetas,pro,,Collaborateur du sénateur Jean-Jacques Lozach,46776 EUR par an,3898 EUR brut mensuel,,,
Stéphane Claireaux,pro,,Collaborateur parlementaire d'un député,"33918,24 EUR par an","député 975 - 2826,52 EUR par mois",,,
Julie Sommaruga,pro,,Collaboratrice à la Mairie de Paris,33168 EUR par an,Collaboratrice à la Mairie de Paris (démission à la date du 30 juin 2012) - 2764/mois,,,
Audrey Linkenheld,pro,,Collaboratrice de député européen,33360 EUR par an,"Collaboratrice de Gilles PARGNEAUX, députée européen, à mi-temps - 2780/mois net = 3509,01/mois brut",,,
Véronique Louwagie,pro,,Commissaire aux comptes,2014 : 1000 EUR,Prévision 1000 EUR par an pour 2014.,,,
Patricia Morhet-Richaud,pro,,Comptable à la coopérative agricole Alpes Sudable,17885 EUR par an,"BRUT - 17885,70 EUR",,,
Elisabeth Guigou,pro,,Conférence à l'IEP de Paris cours semestriel en master,2000 EUR par an,,,,
Jean-François Copé,pro,,Conférencier,2013 : 35135 EUR par an,,,,
Pascal Terrasse,pro,,Conférencier Sciences Po,3720 EUR par an,93 EUR / heure depuis février 2010 (3720 EUR perçus),,,
François-Michel Lambert,pro,,Conseil  en aménagement du territoire,,Profession libérale conseil en aménagement du territoire auprès des collectivités grands comptes et entreprises - 2012  NEANT voir consultant point n°3,,,
Pierre Charon,pro,,Conseil Economique et Social,,,,,
Luc Chatel,pro,,Conseil en stratégie et accompagnement,2013 : 183135 EUR,2012 : 51000 EUR 2013 : 183135 EUR,,,
Olivier Marleix,pro,,Conseiller au cabinet du Ministre de l'Intérieur (Février 2011- Mai 2012),102024 EUR par an,Conseiller au cabinet du Ministre de l'Intérieur,,,
Pierre Charon,pro,,Conseiller de Paris,,Conseiller de Paris (voir détail ci-dessous),,,
Philippe Bas,pro,,Conseiller d'Etat,100000 EUR par an,100 000 EUR annuels nets (sur 8 mois en 2011 = 67 000 EUR),,,
Alain Richard,pro,,Conseiller d'Etat,104400 EUR par an,"Conseiller d'Etat en service en sections administratives - en moyenne annuelle 8700 EUR par mois, primes comprises",,,
Édouard Courtial,pro,,Conseiller en charge du développement international,93847 EUR par an,"Conseiller en charge du développement international auprès du Président de MSH International, filiale du cabinet de courtage d'assurance SIACI St Honoré (salarié à temps partiel)  -  7219 EUR nets/mois sur 13 mois",,,
Gérard Charasse,pro,,Conseiller général,2013 : 19009 EUR,"Conseiller général de Cusset Sud depuis 1998 - 1806,41 x 6 = 10 838 EUR (6 mois 2012) 1667,42 x 12 = 19009 EUR au titre 2013",,,
Frédéric Roig,pro,,Conseiller général,26652 EUR par an,2221 EUR / mois,,,
Jacques Krabal,pro,,Conseiller Général de l'Aisne,27186 EUR par an,Conseiller Général de l'Aisne (jusqu'en déc 2012) - 2264 EUR,,,
Philippe Bas,pro,,Conseiller juridique,2011 : 40000 EUR,Conseiller juridique de la RATP - 40 000 EUR nets en 2011,,,
Henri Guaino,pro,,Conseiller maître à la Cour des Comptes,70312 EUR par an,"Rémunération nette mensuelle 5859,38 EUR",,,
Michel Bouvard,pro,,Conseiller Maître à la cour des comptes,99600 EUR par an,8300 EUR net par mois y compris primes de rendement. En disponibilité pour la durée du mandat parlementaire,,,
Dominique Lefebvre,pro,,Conseiller maître à la Cour des comptes,NÉANT,Conseiller maître à la Cour des comptes en situation de détachement à l'Assemblée nationale depuis le 18 juin 2012 - 0 EUR à compter du 30 juin 2012,,,
Jean-Louis Bricout,pro,,Conseiller régional (Picardie),25084 EUR par an,"2090,41 EUR/mois (indemnité d'élu)",,,
Bruno Le Maire,pro,,Conseiller régional de Haute Normandie,21000 EUR par an,,,,
Olivier Faure,pro,,Conseiller spécial du Premier Ministre,120000 EUR par an,10000 net mensuel x 12 mois,,,
Sergio Coronado,pro,,Conseiller technique (groupe GDR),"93875,9 EUR par an","Conseiller technique (groupe GDR) - 93875,9 EUR brut 72843,70 EUR net",,,
Sylvie Andrieux,pro,,Conseillère communautaire,2012 : 9216 EUR,768 EUR / mois (valeur 2012),,,
Sylvie Andrieux,pro,,Conseillère municipale Marseille,19740 EUR par an,1645 EUR / mois,,,
Elisabeth Pochon,pro,,Conseillère Principale d'Education,2012 : 27852 EUR,2321 EUR  par  mois en 2012 (légèrement inférieur les années précédentes selon les échelons),,,
Daniel Fasquelle,pro,,Consultant juridique,2013 : 15000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2009 : 15000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2010 : 3000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2011 : 12500 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2012 : 11000 EUR,Rétributions variables cf. annexes. (document 1),,,
Valérie Lacroute,pro,,Consultant transport auto-entrepreneur,15300 EUR par an,,,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2013 : 893 EUR,Droits d'auteur,,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,"2009 : 11943,15 EUR","Droits d'auteur (Dalloz, Wolters, Lextensio editions)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,"2010 : 13554,30 EUR","Droits d'auteur (Dalloz, Lextensio editions)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2011 : 1137 EUR,"Droits d'auteur (Dalloz, Wolters, Gazette du Palais)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2012 : 2310 EUR,Droits d'auteur,,,
Fanélie Carrey-Conte,pro,,Déléguée nationale d'association,36872 EUR par an,Déléguée nationale de l'association L'ESPER (L'économie sociale partenaire de l'école de la République). Démission en juillet 2012,,,
Arlette Grosskost,pro,,Député,46 798 EUR par an,Député - 46 798 EUR (nette fiscale),,,
Philippe Folliot,pro,,Député,47728 EUR par an,,,,
Jonas Tahuaitu,pro,,Député,"60428,04 EUR par an","Député (2e cir. Polynésie Fr) - 5 035,67 EUR/mois + IRFM 5 770 EUR/mois",,,
Marie-Line Reynaud,pro,,Député,"61785,24 EUR par an","Députée de la charente - 5148,77 EUR",,,
Karine Berger,pro,,Député,63600 EUR par an,Mandat de député - 5300 EUR par mois,,,
Marc-Philippe Daubresse,pro,,Député,"69182,16 EUR par an","Député - Indemnité Mensuelle base Décembre 2013 5765,18 EUR",,,
Philippe Nauche,pro,,Député,"69579,24 EUR par an","depuis 2007 - 5798,27 EUR/mois net",,,
Arnaud Richard,pro,,Député,62400 EUR par an,Juin 2010 - mai 2012 Député - 5200 EUR nets par mois d'indemnités parlementaires,,,
Dominique Bussereau,pro,,Député,"73580,64 EUR par an",Député depuis le 14.12.10 - Montant mensuel de l'indemnité (2011) 6131 EUR72,,,
François de Rugy,pro,,Député,,,,,
Frédéric Roig,pro,,Député,64428 EUR par an,Député 5369 EUR / mois,,,
Frédérique Massat,pro,,Député,,Députée activité prof. néant,,,
Gaëtan Gorce,pro,,Député,,Député de juin 1997 à septembre 2011 - Indemnité correspondante,,,
Gérard Bapt,pro,,Député,,Député - indemnité parlementaire,,,
Gilbert Le Bris,pro,,Député,2013 : 55009,Député - 55009 (année 2013),,,
Jean-Christophe Lagarde,pro,,Député,"67602,24 EUR par an","Député - 5633,52 EUR/mois",,,
Jean-Claude Guibal,pro,,Député,"70097,40 EUR par an",Député -Indemnité Parlementaire mensuelle nette : 5841.45 EUR,,,
Sophie Rohfritsch,pro,,Député,55035 EUR par an,DEPUTEE - 55035,,,
Sylvie Andrieux,pro,,Député,52104 EUR par an,Députée - 4342 EUR / mois,,,
Gérard Charasse,pro,,Député,"2013 : 54592,56 EUR","Député de l'Allier (3ème circonscription), député réélu en juin 2012 (4ème mandat) - 25934 EUR sur 6 mois de 2012 (net imposable) / 54592,56 EUR au titre de l'année 2013 (net imposable)",,,
Sophie Primas,pro,,Député (en 2011),,,,,
Kader Arif,pro,,Député européen,72000 EUR par an,de 5963 EUR à 6200 EUR par mois,,,
Sébastien Huyghe,pro,,Député sortant,,,,,
Aurélie Filippetti,pro,,Députée,,,,,
Michel Boutant,pro,,Détachement de l'Education Nationale depuis septembre 2004,NÉANT,,,,
Hugues Fourage,pro,,Directeur adjoint Chambre consulaire en disponibilité,,En disponibilité depuis 2010,,,
Pascale Gruny,pro,,Directeur Administratif et Financier,79200 EUR par an,Brut,,,
