name,type,company,description,amount,notes,notes2,notes3,notes4
Damien Abad,functions,,Conseiller régional,,Depuis mars 2010 - Indemnités de conseiller régional,,2010,En cours
Damien Abad,functions,,Député Européen,NÉANT,de juin 2009 à juin 2012 - indemnités de député européen,,2009,2012
Damien Meslot,functions,,NÉANT,,,,,
Daniel Boisserie,functions,,Maire de  St-Yrieix-la-Perche,2013 : 12930 EUR par an,de 2008 à ce jour,12930,2008,En cours
Daniel Boisserie,functions,,Président de la Cté de communes du Pays de Saint-Yrieix,2013 : 14081  EUR par an,de 2008 à ce jour,14081,2008,En cours
Daniel Chasseing,functions,,Conseiller général du canton de Treignac,2012: 21597 EUR par an,Montant déclaré pour les deux mandats (maire et conseiller général) - Election en mars 2011 (1er mandat 1979) - Démission le 29 septembre 2014.,,1979,2014
Daniel Chasseing,functions,,Conseiller général du canton de Treignac,2013 : 17734  EUR,Montant déclaré pour les deux mandats (maire et conseiller général) - Election en mars 2011 (1er mandat 1979) - Démission le 29 septembre 2014.,,1979,2014
Daniel Chasseing,functions,,Conseiller général du canton de Treignac,2009 : 23452 EUR par an,Montant déclaré pour les deux mandats (maire et conseiller général) - Election en mars 2011 (1er mandat 1979) - Démission le 29 septembre 2014.,,1979,2014
Daniel Chasseing,functions,,Conseiller général du canton de Treignac,2010 : 23676 EUR par an,Montant déclaré pour les deux mandats (maire et conseiller général) - Election en mars 2011 (1er mandat 1979) - Démission le 29 septembre 2014.,,1979,2014
Daniel Chasseing,functions,,Conseiller général du canton de Treignac,2011 : 24751 EUR par an,Montant déclaré pour les deux mandats (maire et conseiller général) - Election en mars 2011 (1er mandat 1979) - Démission le 29 septembre 2014.,,1979,2014
Daniel Chasseing,functions,,Maire de Chamberet (19370),"0,00 EUR",indemnité de Maire abandonnée en août 2013,0,,en cours
Daniel Dubois,functions,,Conseiller général de Haut-Cloche-Membre de la Commission Permanente du CG,2032 EUR,2032 EUR,2032 EUR,2010,
Daniel Dubois,functions,,Maire-adjoint de Oneux - 375 Habitants,NÉANT,,NÉANT,2014,
Daniel Dubois,functions,,Président Communauté de communes Haut-Cloche (8000 h),3056 EUR par an,764 EUR par trimestre,3056,2014,
Daniel Fasquelle,functions,,Maire Le Touquet-Paris-Plage,"1572,25",1er mandat : 2008,"1572,25",2008,
Daniel Fasquelle,functions,,Président de la Communauté de Communes Mer et Terre d'Opale (CCMTO),278.04 euros,1er mandat : 2008,"278,04 euros",2008,
Daniel Fasquelle,functions,,Président du Syndicat Mixte du Montreuillois,NÉANT,1er mandat : 2008,NÉANT,30/06/1905,
Daniel Fasquelle,functions,,Vice-président du SYMCEA (Syndicat mixte de la Canche et de ses affluents),NÉANT,,NÉANT,,
Daniel Fasquelle,functions,,,,Député 4ème circonscription du Pas-de-Calais - 1er mandat : 2007 à 2012 2ème mandat depuis juin 2012,,,
Daniel Gibbes,functions,,Conseiller Territorial de la COM de Saint-Martin. Membre conseil exécutif.,21684 EUR par an,17/03/2012 - 1 807 € mensuel,21684,2012,
Daniel Goldberg,functions,,Conseiller municipal Ville de la Courneuve,NÉANT,20/06/2008 - 30/03/2014,,2008,2014
Daniel Goldberg,functions,,,,Député depuis 2007 - 5217 euros par mois,,,
Daniel Gremillet,functions,,CESE,"17291,88 EUR par an",,"17291,88",2007,
Daniel Gremillet,functions,,CNE,NÉANT,,,1989,2014
Daniel Gremillet,functions,,Conseiller Régional de Lorraine,30108 EUR par an,Brut,30108,1986,
Daniel Gremillet,functions,,FNE,NÉANT,,,1989,2014
Daniel Gremillet,functions,,Institut de l'élevage,NÉANT,,,1989,2014
Daniel Gremillet,functions,,Président chambre d'agriculture,"22442,4 EUR par an",,,1989,2014
Daniel Gremillet,functions,,Président SPIE,NÉANT,,,,2014
Daniel Gremillet,functions,,Prevert,NÉANT,,,,2014
Daniel Gremillet,functions,,Vice-Président d'APLA,6732 EUR par an,,,2007,2014
Daniel Gremillet,functions,,Vice-Président de la chambre régionale d'agriculture,"672,05 EUR par an",,,1989,2014
Daniel Laurent,functions,,Maire de Pons,2014 : 4830 EUR par an,Elu en Mars 2014 (mensuel x 9 mois),4830,2014,
Daniel Laurent,functions,,Président du syndicat Départemental d'Electrification,2014 : 13936 EUR par an,"1161,31 EUR mensuel",13936,2014,
Daniel Laurent,functions,,Vice-Président de la Communauté de Communes de Haute Saintonge,"2014 : 8333,52 EUR par an","Depuis 01/04/2014 à 694,46","8333,52",2014,
Daniel Laurent,functions,,,,"Sénateur : 5379,12 EUR par mois",,,
Daniel Percheron,functions,,Président du conseil régional 59-62,NÉANT,Indemnité plafonnée de président (2250 € / mois),,2010,2015
Daniel Percheron,functions,,,,Sénateur 62 2011 - 2017 - Idnemnité parlementaire,,,
Daniel Raoul,functions,,Conseiller délégué de la ville d'Angers,NÉANT,,,2008,2014
Daniel Raoul,functions,,Vice Président de Communauté d'Agglo,NÉANT,,,2008,2014
Daniel Raoul,functions,,,,Sénateur - 2001 Election 2011 Renouvellement 2017 Fin de mandat - 27000 EUR par an,,,
Daniel Reiner,functions,,NÉANT,,,,,
Daniel Vaillant,functions,,Conseiller de Paris (18eme arrondissement),19092 EUR par an,mars 2008 mars 2014 - indemnité :  1 591 € après impôt,,2008,2014
Daniel Vaillant,functions,,Maire arrondissement (18ème),3084 EUR par an,avril 2008 - avril 2014 - indemnité : 257 € après impôt,,2008,2014
Daniel Vaillant,functions,,,,Député de Paris Indemnité Parlementaire: 4688 EUR avant impôts,,,
Danielle Auroi,functions,,Elue communautaire,NÉANT,,,2009,2014
Danielle Auroi,functions,,Elue municipale,NÉANT,,,2009,2014
Danielle Michel,functions,,Conseillère municipale,,,,,
Danielle Michel,functions,,Vice présidente de la communauté d'agglomération,"10861,32 EUR par an","905,11 €","10861,32",,
Danielle Michel,functions,,,,"5514,68 EUR -  Sénatrice",,,
David Assouline,functions,,Conseiller de Paris,"30145,32 EUR par an",Début : Mars 2008 Fin: Mars 2014 - Conseiller municipal : 512.46€ mensuel Conseiller général : 1999.65€ Mensuel,,2008,2014
David Comet,functions,,Conseiller général du canton d'Angoulême Ouest,15660 EUR par an,Rien depuis mars 2015,,2011,2015
David Douillet,functions,,Conseiller Régional d'Ile de France,2012 : 24381 EUR par an,21 mars 2010 - mars 2015 net,,2010,2015
David Douillet,functions,,Conseiller Régional d'Ile de France,"2013 : 29 804,04 EUR par an",,,2010,2015
David Habib,functions,,Maire de Mourenx,"18050,16 EUR par an","élu le 10 mars 2008 - 1504,18 € net / mensuel","18050,16",2008,
David Habib,functions,,Président de la communauté de communes de LACQ,"13822,2 EUR par an","élu Avril 2008, mandat achevé le 16 janvier 2014 - 1151,85 € net / mensuel",,2008,2014
David Rachline,functions,,Conseiller régional de Provence-Alpes-Côte d'Azur (PACA),27 600 EUR par an,2 300 EUR par mois,,2010,2014
David Rachline,functions,,Maire de Fréjus,34 188 EUR par an,2 849 EUR bruts par mois,34188,2014,En cours
Delphine Bataille,functions,,Conseillère générale du Nord,19608 EUR,31 mars 2011 / 2015 (Vice-Présidente démissionnaire le 7 novembre 2011) - 1634 euros / mois,,2011,2015
Delphine Batho,functions,,,,Députée - Juin 2007,,,
Denis Baupin,functions,,Conseiller de Paris,52860 EUR par an,16/03/2008 (fin de mandat : 30/03/2014) - En tant que Maire adjoint et conseiller de Paris : 4405 Euros (du 21/03/2008 au 05/07/2012),,2008,2014
Denis Baupin,functions,,Maire adjoint de Paris,28224 EUR par an,"Du 21/03/2008 au 05/07/2012 - En tant que conseiller de Paris (conseiller municipal + conseiller général, du 16/03/2 5/07/2012 au 30/03/2014 2352 Euros (après ecrétement)",,2008,2012
Denis Jacquat,functions,,Conseiller général de la Moselle,,A partir 27-3-2011,,2011,En cours
Denys Robiliard,functions,,Conseiller communautaire,1320 EUR par an,mai 2008 mars 2014 - 110€/mois,,2008,2014
Denys Robiliard,functions,,Conseiller municipal de Blois Maire adjoint,15600 EUR par an,mars 2008 mars 2014 - 1300€/mois,,2008,2014
Didier Guillaume,functions,,Conseiller général,,,,1998,
Didier Guillaume,functions,,Président du conseil Général de la Drôme,28762 EUR par an,"2396,82 EUR net par mois : indemnité écretée",,2004,2015
Didier Guillaume,functions,,,,"Sénateur depuis 2008, 2003: 83764,08 EUR",,,
Didier Mandelli,functions,,Mairie du Poiré sur Vie,"22387,56 EUR par an","1865,63 eur net / mois","22387,56",2014,
Didier Mandelli,functions,,Premier Vice-Président du syndicat Trivalis,"9237,84 EUR par an","769,82 eur net / mois juin 2014","9237,84",2014,
Didier Mandelli,functions,,Président de communauté de communes Vie et Boulogne,"22786,44 EUR par an","1898,87 eur net / mois mars 2014","22786,44",2014,
Didier Marie,functions,,Conseiller général,"24491,28 EUR par an","2040,94 eur / mois élu en 2004, renouvelé en 2008","24491,28",2004,
Didier Marie,functions,,,,"Sénateur : 5381,23 eur / mois",,,
Didier Quentin,functions,,Maire Ville de Royan,"13153,8 EUR par an","Avril 2008 - 1096,15 €/mois","13153,8",2008,
Didier Quentin,functions,,Vice Président de la CARA Communauté Agglomération Royan Atlantique,"13220,28 EUR par an","Avril 2008 - 1101,69 €/mois","13220,28",2008,
Didier Quentin,functions,,,,"Député Assemblée Nationale - Juin 1997 - 5873,88 EUR/mois",,,
Didier Robert,functions,,Président du Conseil Régional de la Réunion,54852 EUR par an,4571 EUR net par mois,54852,2010,en cours
Dino Cinieri,functions,,Elu parlementaire,46799 EUR par an,20/06/2012,46799,2012,
Dominique Baert,functions,,Maire de Wattrelos,12539 EUR par an,,12539,2000,
Dominique Baert,functions,,Vice-président LMCU,16273 EUR par an,,16273,2001,
Dominique Baert,functions,,,,Député du Nord - (1997-2002) (2007-2012) -  47702 EUR par an,,,
Dominique Bailly,functions,,Maire d'Orchies,20760 EUR par an,1730 EUR par mois,20760,2005,
Dominique Bailly,functions,,Président de la communauté de communes cœur de Pévèle,5376 EUR par an,448 EUR par mois 01/12/2013,,2002,2013
Dominique Bussereau,functions,,Président du Conseil Général,24552 EUR par an,depuis le 20 mars 2008 - mandat en cours - Indemnité 2013 2046€ après écrêtement,24552,2008,
Dominique Chauvel,functions,,Maire,NÉANT,2001 à octobre 2013,,2001,2013
Dominique Chauvel,functions,,Vice-président Département,27600 EUR par an,2008=> Janvier 2014 Aujourd'hui simple Conseillère Générale  - 2300,,2008,2014
Dominique de Legge,functions,,Conseiller général de Bretagne,"21670,20 EUR par an","1805,85 par mois",,1998,2004
Dominique de Legge,functions,,Maire du Pertre,"14691,48 EUR par an","1224,29 par mois. De mars 1995 au 01 avril 2014 pas d'indemnités.","14691,48",2014,en cours
Dominique de Legge,functions,,Vice Président de Vitré communauté,"7802,40 EUR par an","650,20 par mois jusqu'en décembre 2013",,2001,2013
Dominique de Legge,functions,,Vice Président du Pertre communauté,"12091,92 EUR par an","1007,66 par mois. Toujours en cours","12091,92",2014,en cours
Dominique Dord,functions,,Maire d'Aix-les-Bains,24000 EUR par an,2000€ + Clio Renault de fonction,24000,2001,
Dominique Dord,functions,,Président Communauté Agglo. Lac du Bourget,0 EUR par an,,0,2008,
Dominique Dord,functions,,Trésorier UMP,0 EUR par an,0... (démissionnaire fin 2012),0,2010,
Dominique Estrosi Sassone,functions,,Adjointe au Maire de Nice,11832 EUR par an,,11832,2014,
Dominique Estrosi Sassone,functions,,Conseillère Générale des Alpes Maritimes,24360 EUR par an,,24360,2011,
Dominique Estrosi Sassone,functions,,Présidente de Commission Métropole Nice Côte d'Azur,18696 EUR par an,,18696,2014,
Dominique Gillot,functions,,Maire d'Eragny,NÉANT,03/2008 - 30/03/2014,,2008,2014
Dominique Gillot,functions,,,,Sénatrice du Val d'Oise - 01/10/2011 - 30/09/2017,,,
Dominique Le Mèner,functions,,Président du conseil général de la Sarthe,NÉANT,,,2015,en cours
Dominique Le Mèner,functions,,Vice-Président du conseil général de la Sarthe,"26875,20 EUR par an","(plafonnée) 2239,60 eur fois 12",,2008,2015
Dominique Lefebvre,functions,,Maire de Cergy,0 EUR par an,28 février 1996/ 2 janvier 2013 - 0 € à compter du 1er juillet 2012,,1996,2013
Dominique Lefebvre,functions,,Président de la Communauté d'agglomération de Cergy-Pontoise,"33086,52 EUR par an","Avril 2001 - 2 757,21 € brut","33086,52",2001,
Dominique Nachury,functions,,Conseillere générale VII eme canton de Lyon.,27600 EUR par an,depuis 1998 - 3200 € mensuels (2300 euros mensuels depuis juin 2012,,1995,2012
Dominique Nachury,functions,,Conseillere municipale de Lyon,13200 EUR par an,(demission pour cumul de mandats) - 1100 euros mensuels (jusqu'en juin 2012),13200,,
Dominique Nachury,functions,,Vice-Présidente du Conseil General du Rhône,,,,2001,
Dominique Orliac,functions,,NÉANT,,,,,
Dominique Potier,functions,,Maire,2400 EUR par an,200€->juin 2012 (octobre) après 0,,2008,2014
Dominique Potier,functions,,Président CC Toulois,20400 EUR par an,1700€->juin 2012 (octobre) après 0,,2008,2013
Dominique Potier,functions,,Vice-Président SM SCOT SUD 54,8400 EUR par an,env 700€->juin 2012 (octobre) après 0,,2008,2014
Dominique Raimbourg,functions,,Conseiller communautaire Nantes Métropole,10800 EUR par an,900€ / mois,,2008,2014
Dominique Raimbourg,functions,,Conseiller municipal St Sébastien (44),1080 EUR par an,90€ / mois,,2008,2014
Dominique Raimbourg,functions,,,,Député- 5000 EUR / mois,,,
Dominique Tian,functions,,Conseiller municipal de Marseille,,mars 2008 -,,2008,
Dominique Tian,functions,,Maire de secteur 6ème et 8ème arrondissement de Marseille,NÉANT,Début de mandat : mars 2008 / fin de mandat : 4 septembre 2013,,2008,2013
Dominique Tian,functions,,,,Député de la 2ème circonscription des Bouches-du-Rhône (2006-2013),,,
Dominique Watrin,functions,,Conseiller général du Pas-de-Calais,"25523,88 EUR par an","décembre 2001 - 2126,99","25523,88",2001,
Dominique Watrin,functions,,Vice-Président du Conseil général chargé des personnes âgées,,,,2008,
Edith Gueugneau,functions,,Conseillère Municipale,,,,1993,
Edith Gueugneau,functions,,Présidente de la Communauté de Communes entre Somme et Loire 71,"16723,32 EUR par an","10 janvier 2010 - 1393€,61/mois","16723,32",2010,
Edith Gueugneau,functions,,Vice présidente Région Bourgogne,19908 EUR par an,"28 mars 2010 - 1659,00 / par mois",19908,2010,
Édouard Courtial,functions,,Maire d'Agnetz,"15757,32 EUR par an","Mars 2008 à ce jour  -1313,11 € / mois (nets)","15757,32",2008,
Edouard Philippe,functions,,Maire du Havre,indemnités fixées par le Conseil Municipal et le Conseil Communautaire en application de la loi et sous le plafond prévu par la loi,octobre 2010 à mars 2014,,2010,2014
Edouard Philippe,functions,,Président CODAH,indemnités fixées par le Conseil Municipal et le Conseil Communautaire en application de la loi et sous le plafond prévu par la loi,décembre 2010 à mars 2014,,2010,2014
Eduardo Rihan Cypel,functions,,Conseiller communautaire de la C.A. du Val Maubuée,0,,,2008,2014
Eduardo Rihan Cypel,functions,,Conseiller municipal de Torcy (77),1068 EUR par an,89.00€ / mois,,2008,2014
Eduardo Rihan Cypel,functions,,Conseiller Régional d'Ile-de-France,"29382,84 EUR par an","Démission - 2448,57 euros net/mois",,2010,2012
Éliane Assassi,functions,,Conseillère municipale,NÉANT,mars 2008 mars 2014,,2008,2014
Éliane Giraud,functions,,Présidente du Parc Naturel régional de Chartreuse,"13229,04 EUR par an","Jusqu'à fin mai 2014, supprimée ensuite","13229,04",2001,
Éliane Giraud,functions,,Vice-Présidente de la Région Rhônes-Alpes,44705 EUR par an,C.R. depuis Mars 1998 Conseillère déléguée depuis Mars 2004 V.P. depuis le 12 juillet 2012 - Brut mensuel  3725 € 47,44705,1998,
Élie Aboud,functions,,Adjoint au Maire de Béziers,15600 EUR par an,2008 / Janv. 2013 -  1300 € net/mois,,2008,2013
Élie Aboud,functions,,Conseiller communautaire CABM, 2760 EUR par an,2008 / en cours - 230 € net/mois,2760,2008,
Élisabeth Doineau,functions,,Conseillère générale de la Mayenne,31932 EUR par an,2661 EUR,,2011,2015
Élisabeth Doineau,functions,,Conseillère régionale des Pays de Loire,35124 EUR par an,2927 EUR,,2010,2014
Elisabeth Guigou,functions,,NÉANT,,,,,
Elisabeth Lamure,functions,,Maire,18312 EUR par an,,18312,1989,en cours
Elisabeth Lamure,functions,,Vice Présidente EPCI,10524 EUR par an,,10524,1989,en cours
Elisabeth Lamure,functions,,,,Sénateur - 2004 - … - 62016 Eur par an,,,
Elisabeth Pochon,functions,,Conseillère municipale dans la commune de Villemomble,"1101,96 EUR par an","91,83 € / mois (en janvier 2014)","1101,96",2001,En cours
Elisabeth Pochon,functions,,,,"Députée - Indemnité parlementaire : 5346,47 EUR/mois (en janvier 2014) IRFM : 5308,40 EUR/mois (en janvier 2014)",,,
Emeric Bréhier,functions,,Conseiller Communautaire,,mar-08,,2008,
Emeric Bréhier,functions,,Conseiller municipal de Chelles et adjoint au Maire,"61667,01 EUR par an",mar-08,"61667,01",2008,
Éric Alauzet,functions,,Conseiller général,31200 EUR par an,mars 2008  -2600 euros/mois,31200,2008,
Éric Alauzet,functions,,Conseiller municipal délégué,6000 EUR par an,mars 2008- juin 2012 -500 euros/mois,,2008,2012
Éric Alauzet,functions,,Président SYBERT,11400 EUR par an,mars 2008 - juin 2012 - 950 euros /mois,,2008,2012
Éric Alauzet,functions,,Vice président communauté d'agglomération,9000 EUR par an,mars 2008 - juin 2012  -750 euros/mois,,2008,2012
Eric Bocquet,functions,,Conseiller Lille Métropole,12852 EUR par an,brut / reversé à l'association  de financement PCF 59,12852,NÉANT,En cours
Eric Bocquet,functions,,Maire de Marquillies,10788 EUR par an,40% à l'élu / brut,10788,1995,En cours
Éric Ciotti,functions,,Président du Conseil général des Alpes-Maritimes,13392 EUR par an,1er avril 2011 Mars 2015 Conseiller général  -1 116€,,2011,2015
Éric Ciotti,functions,,Président du SDIS 06,"11995,56 EUR par an","18 décembre 2009 - 999,63€","11995,56",2009,
Éric Ciotti,functions,,Président du Syndicat Mixte pour le développement de la Vésubie et du Valdeblore,NÉANT,19-dic-11,NÉANT,2011,
Éric Doligé,functions,,Président du conseil général du Loiret,2013 : 36784 EUR par an  ;  16254  EUR par an,Début 1/04/1994 - brut annuel ; indemnités forfaitaire pour frais,36784,1994,
Éric Doligé,functions,,Président du conseil général du Loiret,2009 : 32767 EUR par an ;  16254 EUR par an,,,1994,
Éric Doligé,functions,,Président du conseil général du Loiret,2010 : 33005 EUR par an ;  16254 EUR par an,,,1994,
Éric Doligé,functions,,Président du conseil général du Loiret,2011 : 33088 EUR par an ;  16254 EUR par an,,,1994,
Éric Doligé,functions,,Président du conseil général du Loiret,2012 : 33088 EUR par an ;  16254 EUR par an,,,1994,
Éric Jalton,functions,,1er vice-Président Communauté d'Agglomération,26952 EUR par an,820€/mois de 2008 à mars 2013 et 2246 depuis.,,2008,2014
Éric Jalton,functions,,Maire,528 EUR par an,609€ de 2008 à mai 2012. 1580€ jusqu'à mars 2013 et 44€ depuis,,2008,2014
Éric Jalton,functions,,,,"Député 2007-2014 - 5427,38 EUR/mois",,,
Éric Jeansannetas,functions,,1er adjoint de la Mairie de Guéret,6587 EUR par an,941€ brut mensuel avril à octobre 2014,,2014,2014
Éric Jeansannetas,functions,,Vice-Président de la Communauté de Communes de Guéret,5600 EUR par an,800€ brut mensuel avril à octobre 2014,,2014,2014
Éric Jeansannetas,functions,,Vice-Président du Conseil  général de la Creuse,25536 EUR par an,2128€ brut mensuel,25536,2008,
Éric Straumann,functions,,Conseiller général du Haut-Rhin,24516 EUR par an,Depuis mai 2004 - 2.043€/mois,24516,2004,
Éric Straumann,functions,,Maire de Houssen,,Depuis mars 2001,,2001,
Éric Straumann,functions,,Vice-Président de la Communauté d'Agglomération de Colmar,2436 EUR par an,Depuis novembre 2003 - 203€,2436,2003,
Éric Straumann,functions,,,,Député du Haut-Rhin Depuis juin 2007  - 5148 EUR,,,
Éric Woerth,functions,,Maire de Chantilly,"25085,16 EUR par an","2008 - 2014 - Indemnité mensuelle brute = 2090,43€",,2008,2014
Éric Woerth,functions,,Président communauté de communes de l'aire cantilienne,NÉANT,2008 - 2014,,2008,2014
Éric Woerth,functions,,,,"Député de l'Oise - - Indemnité parlementaire mensuelle brute = 5680,12 EUR IRFM = 5770 EUR",,,
Ericka Bareigts,functions,,CINOR,2009-2012 : 104751 EUR par an,,,2008,2012
Ericka Bareigts,functions,,Conseil régional de la Réunion,"47966,16 EUR par an",,,2010,2012
Ericka Bareigts,functions,,conseillère municipale à saint denis,"2009-2013 : 80165,79 EUR par an",depuis le 16/03/08 jusqu'à aujourd'hui,"16033,16",2008,
Erwann Binet,functions,,Vice Président du Conseil général de l'Isère,"33950,4 EUR par an","16 mars 2008 - 2829,20 € bruts par mois","33950,4",2008,
Estelle Grelier,functions,,Conseillère municipale Fécamp,NÉANT,mar-08,NÉANT,2008,
Estelle Grelier,functions,,Député européen,"74408,64",7 juin 2009 - 20 juin 2012 - 6200.72 € nets par mois,,2009,2012
Estelle Grelier,functions,,Présidente communauté de communes de Fécamp,NÉANT,apr-08,NÉANT,2008,
Estelle Grelier,functions,,Présidente du centre de gestion de la fonction publique territoriale 76,"26168,52 EUR par an","Septembre 2008 - 2180,71€ nets/mois","26168,52",2008,
Esther Benbassa,functions,,NÉANT,,,,,
Étienne Blanc,functions,,Maire de Divonne Les Bains,"13795,44 EUR par an","Mars 2008 à Mars 2014 - 1149,62 euros mensuel (écrêtement)",,2008,2014
Étienne Blanc,functions,,Président de communauté de communes,"9631,92 EUR par an","Avril 2008 à Mars 2014 - 802,66€ mensuel (écrêtement)",,2008,2014
Étienne Blanc,functions,,,,"Député de l'Ain - 5682,41 EUR brut mensuel",,,
Eva Sas,functions,,Conseillère communautaire CALPE,2208 EUR par an,184 EUR,2208,,
Eva Sas,functions,,Conseillère municipale Savigny sur Orge,NÉANT,,,,
Évelyne Didier,functions,,Maire de Conflans-en-Jarnisy 54800,"12643,68 EUR par an","Mars 2008 - Mars 2014 - 1053,64",,2008,2014
Évelyne Didier,functions,,Vice - présidente syndicat mixte SCOT,Indemnités non perçues,mar-14,Indemnités non perçues,2014,
Évelyne Didier,functions,,Vice-présidente CDeC du Jarnisy,Indemnités non perçues,Mars 2008 - Mars 2014,,2008,2014
Évelyne Yonnet-Salvator,functions,,Conseillère communautaire,,,,,
Évelyne Yonnet-Salvator,functions,,Conseillère municipale,,,,,
Fabienne Keller,functions,,Conseillère de la Communauté Urbaine de Strasbourg,11424 EUR par an,952 EUR par mois,11424,2014,2020
Fabienne Keller,functions,,Conseillère Municipale de Strasbourg,5244 EUR par an,437 EUR par mois,5244,2014,2020
Fabrice Verdier,functions,,Conseiller Régional,21600 EUR par an,Octobre 2012 - Mars 2015 - 1800 euros net,,2012,2015
Fabrice Verdier,functions,,Maire,5400 EUR par an,Mars 2008 - Mars 2014 - 450 euros net,,2008,2014
Fabrice Verdier,functions,,Président Communauté de communes,4800 EUR par an,Avril 2008 - juillet 2012 - 400 euros net,,2008,2012
Fabrice Verdier,functions,,Vice Président conseil régional,26400 Eur par an,Mars 2010 - octobre 2012 - 2200 euros net,,2010,2012
Fanélie Carrey-Conte,functions,,NÉANT,,,,,
Fanny Dombre Coste,functions,,Adjointe Maire,"25632,6 EUR par an",Cumulé 2008 - 2012  : 128163,,2008,2012
Fanny Dombre Coste,functions,,Conseillère agglo,2012 : 50997 EUR par an,,,2008,En cours
Fanny Dombre Coste,functions,,Conseillère agglo,2013 : 13794 EUR par an,,13794,2008,En cours
Fanny Dombre Coste,functions,,Conseillère municipale,2013 : 6990,,6990,2012,En cours
Fanny Dombre Coste,functions,,Conseillère régionale,21193 EUR par an,Cumulé : 63579,,2010,2012
Félix Desplan,functions,,Maire de Pointe-Noire (premier adjoint au Maire de Pointe-Noire),137392 EUR par an,Mars 2008-septembre 2013 (octobre-décembre 2013),,2008,2013
Félix Desplan,functions,,Premier Vice-Président du Conseil Général de la Guadeloupe,13578 EUR par an,Mars 2011-septembre 2011,,2011,2011
Félix Desplan,functions,,Président du Conseil de surveillance de l'hôpital Louis-Daniel Beauperthuy de Pointe-Noire,NÉANT,Mars 2011-septembre 2011,,2011,2011
Félix Desplan,functions,,Vice-Président de la Communauté d'agglomération du Nord Basse-Terre (CANBT),55679 EUR par an,Janvier 2011-en cours - (jusqu'en décembre 2013),55679,2011,En cours
Fernand Siré,functions,,Maire,,A partir de 03/2001,,2001,En cours
Fernand Siré,functions,,Vice Président agglo Perpignan Mediterranée,,a partir de 09/2006,,2006,En cours
Fernand Siré,functions,,,,Député -A partir du 31/03/2010 - Rémunération plafonnée à 7641 EUR mensuels,,,
Florence Delaunay,functions,,Conseillère régionale Aquitaine,31932 EUR par an,,,2010,
Florent Boudié,functions,,Conseiller municipal de Pineuilh,NÉANT,mars 2008 - mars 2014,0,2001,En cours
Francis Delattre,functions,,Maire de FRANCONVILLE 95130,33000 EUR par an,Début de mandat Mars 2008 - 2750 € mensuels,33000,2008,
Francis Hillmeyer,functions,,Maire,"5328,72 EUR par an","9 mars 2008 - 444,06 €","5328,72",2008,
Francis Hillmeyer,functions,,Président SCOT,NÉANT,9 mars 2008 - Bénévole,NÉANT,2008,
Francis Hillmeyer,functions,,Vice-président Agglomération,"4308,48 EUR par an","1 janvier 2010 - 359,04 €","4308,48",2010,
Francis Hillmeyer,functions,,Vice-président SIRTAM,"6906,72 EUR par an","mars 2008 / Janvier 2010 - 575,56 €",,2008,2010
Francis Hillmeyer,functions,,Vice-président SIVOM,"2011,60 EUR par an","9 mars 2008 - 417,64 €","2011,6",2008,
Francis Vercamer,functions,,Maire de Hem,21072 EUR par an,1756 EUR brut par mois,21072,2008,En cours
Francis Vercamer,functions,,Vice-Président Métropole européenne Lille,22200 EUR par an,1850 EUR brut par mois,22200,2014,2019
Francis Vercamer,functions,,,,Député du Nord depuis 2007 - 5790 EUR brut par mois : 69480 EUR par an + 1420 EUR brut par mois : 17040 EUR par an,,,
Franck Gilard,functions,,Président du syndicat de gestion des ordures ménagères Rue Lavoisier 27700 Les Andelys,NÉANT,Mars 2008 -> Mars 2014,,2008,2014
Franck Marlin,functions,,Maire ville d'Etampes 91150,23741 EUR par an,"du 15 Mars 2008 au 30 Mars 2014 - 1978,45 Net Mensuel",,2008,2014
Franck Montaugé,functions,,Maire d'Auch,24804 EUR par an,Baisse importante,24804,2014,en cours
Franck Montaugé,functions,,Président Grand-Auch agglomération,8292 EUR par an,Baisse importante,8292,2014,en cours
Franck Reynier,functions,,Maire de Montélimar,2012 : 100836 EUR par an,18/03/2008,,2008,
Franck Reynier,functions,,Maire de Montélimar,2013 : 8663 EUR par an,,8663,2008,
Franck Reynier,functions,,Président de l'Agglomération de Montélimar.,2012 : 16.563 EUR par an,mar-08,,2008,
Franck Reynier,functions,,Président de l'Agglomération de Montélimar.,2013 : 15141 EUR par an,,15141,2008,
Franck Riester,functions,,Maire de Coulommiers,"25603,2 EUR par an","2 133,60 € nets mensuels","25603,2",2008,
Franck Riester,functions,,Président de la communauté de communes du pays de Coulommiers,NÉANT,Elu en janvier 2013,NÉANT,2013,
Franck Riester,functions,,Président du syndicat mixte du centre aquatique et du cinéma (Coulommiers 77),NÉANT,Elu en 2008,NÉANT,2008,
Franck Riester,functions,,,,"Député depuis 2007  - 2013 : 47 215,68 EUR par an Imposable",,,
François André,functions,,Conseiller communautaire Rennes Métropole,2388 EUR par an,De Mars 2008 à Juillet 2012 - 199€ / mois,,2008,2012
François André,functions,,Conseiller général Ille-et-Vilaine,27600 EUR par an,Depuis Mars 2008 - 2300€ / mois,27600,2008,
François André,functions,,Maire adjoint ville de Rennes,20400 EUR par an,De Mars 2008 à Juillet 2012 - 1700€ / mois,,2008,2012
François Asensi,functions,,Communauté d'agglomération Terres de France,NÉANT,,NÉANT,2010,
François Asensi,functions,,Maire,24540 EUR par an,2045,24540,2008,
